Two	CD	two
relaxed	VBN	relax
and	CC	and
open	JJ	open
,	,	,
then	RB	then
gradually	RB	gradually
smiles	VBZ	smile
warmly	RB	warmly
.	SENT	.
As	IN	as
she	PP	she
comes	VBZ	come
closer	JJR	close
in	IN	in
view	NN	view
,	,	,
her	PP$	her
expression	NN	expression
becomes	VBZ	become
friendly	JJ	friendly
and	CC	and
inviting	JJ	inviting
,	,	,
and	CC	and
she	PP	she
folds	VBZ	fold
her	PP$	her
arms	NNS	arm
lightly	RB	lightly
while	IN	while
still	RB	still
looking	VBG	look
ahead	RB	ahead
.	SENT	.
A	DT	a
close	JJ	close
view	NN	view
of	IN	of
a	DT	a
single	JJ	single
red-accented	JJ	<unknown>
Glade	NP	Glade
Potpourri	NN	potpourri
can	NN	can
appears	VBZ	appear
against	IN	against
a	DT	a
softly	RB	softly
blurred	VBN	blur
,	,	,
warm-toned	JJ	<unknown>
background	NN	background
.	SENT	.
It	PP	it
stands	VBZ	stand
on	IN	on
a	DT	a
surface	NN	surface
scattered	VBN	scatter
with	IN	with
orange	JJ	orange
leaves	NNS	leaf
and	CC	and
small	JJ	small
pieces	NNS	piece
of	IN	of
potpourri	NN	potpourri
.	SENT	.
The	DT	the
label	NN	label
reads	VBZ	read
“	``	"
Glade	NP	Glade
,	,	,
”	''	"
“	``	"
Potpourri	NN	potpourri
,	,	,
”	''	"
and	CC	and
“	``	"
Carpet	NN	carpet
&	CC	&
Room	NP	Room
Deodorizer	NN	deodorizer
,	,	,
”	''	"
with	IN	with
the	DT	the
red	JJ	red
flower	NN	flower
emblem	NN	emblem
in	IN	in
the	DT	the
center	NN	center
and	CC	and
a	DT	a
red	JJ	red
fragrance	NN	fragrance
label	NN	label
at	IN	at
the	DT	the
bottom	NN	bottom
.	SENT	.
A	DT	a
hand	NN	hand
in	IN	in
a	DT	a
pale	JJ	pale
sleeve	NN	sleeve
reaches	VBZ	reach
in	IN	in
from	IN	from
behind	RB	behind
,	,	,
wraps	VBZ	wrap
around	IN	around
the	DT	the
can	NN	can
,	,	,
and	CC	and
lifts	VBZ	lift
it	PP	it
away	RP	away
.	SENT	.
The	DT	the
imagery	NN	imagery
turns	VBZ	turn
to	TO	to
soft	JJ	soft
,	,	,
close	JJ	close
views	NNS	view
of	IN	of
country	NN	country
flowers	NNS	flower
and	CC	and
natural	JJ	natural
ingredients	NNS	ingredient
.	SENT	.
Delicate	JJ	delicate
white	JJ	white
blossoms	NNS	blossom
on	IN	on
thin	JJ	thin
stems	NNS	stem
fill	VBP	fill
the	DT	the
view	NN	view
,	,	,
mixed	VBN	mix
with	IN	with
yellow	JJ	yellow
flower	NN	flower
clusters	NNS	cluster
and	CC	and
hints	NNS	hint
of	IN	of
pink	JJ	pink
and	CC	and
purple	JJ	purple
flowers	NNS	flower
in	IN	in
the	DT	the
background	NN	background
.	SENT	.
Then	RB	then
the	DT	the
scene	NN	scene
shifts	VBZ	shift
to	TO	to
a	DT	a
still-life	NN	still-life
arrangement	NN	arrangement
of	IN	of
fruit	NN	fruit
and	CC	and
potpourri	NN	potpourri
materials	NNS	material
:	:	:
red	JJ	red
and	CC	and
green	JJ	green
apples	NNS	apple
,	,	,
yellow	JJ	yellow
fruit	NN	fruit
,	,	,
dark	JJ	dark
grapes	NNS	grape
,	,	,
berries	NNS	berry
,	,	,
plums	NNS	plum
,	,	,
cinnamon	NN	cinnamon
sticks	NNS	stick
,	,	,
a	DT	a
woven	VBN	weave
basket	NN	basket
,	,	,
and	CC	and
small	JJ	small
white	JJ	white
cups	NNS	cup
holding	VBG	hold
dried	VBN	dry
botanicals	NNS	botanical
.	SENT	.
The	DT	the
colors	NNS	color
are	VBP	be
warm	JJ	warm
and	CC	and
abundant	JJ	abundant
,	,	,
suggesting	VBG	suggest
a	DT	a
country	NN	country
harvest	NN	harvest
setting	NN	setting
.	SENT	.
The	DT	the
woman	NN	woman
reappears	VBZ	reappear
in	IN	in
close-up	NN	close-up
outdoors	RB	outdoors
,	,	,
smiling	VBG	smile
,	,	,
holding	VBG	hold
the	DT	the
red-accented	JJ	<unknown>
Glade	NP	Glade
Potpourri	NN	potpourri
can	MD	can
upright	VB	upright
beside	IN	beside
her	PP$	her
face	NN	face
so	IN	so
the	DT	the
front	JJ	front
label	NN	label
faces	VBZ	face
outward	RB	outward
.	SENT	.
She	PP	she
supports	VBZ	support
it	PP	it
with	IN	with
one	CD	one
hand	NN	hand
and	CC	and
points	NNS	point
or	CC	or
rests	VBZ	rest
her	PP$	her
other	JJ	other
hand	NN	hand
near	IN	near
the	DT	the
bottom	NN	bottom
of	IN	of
the	DT	the
can	NN	can
,	,	,
presenting	VBG	present
it	PP	it
clearly	RB	clearly
.	SENT	.
Orange	NP	Orange
autumn	NN	autumn
leaves	VBZ	leave
hang	VB	hang
behind	IN	behind
her	PP	her
,	,	,
and	CC	and
the	DT	the
background	NN	background
remains	VBZ	remain
softly	RB	softly
lit	VBN	light
and	CC	and
green	JJ	green
.	SENT	.
The	DT	the
product	NN	product
is	VBZ	be
then	RB	then
shown	VBN	show
in	IN	in
use	NN	use
.	SENT	.
A	DT	a
Glade	NP	Glade
container	NN	container
is	VBZ	be
tipped	VBN	tip
downward	RB	downward
,	,	,
its	PP$	its
red	JJ	red
dispensing	VBG	dispense
cap	NN	cap
facing	VBG	face
the	DT	the
floor	NN	floor
.	SENT	.
A	DT	a
stream	NN	stream
of	IN	of
fine	JJ	fine
white	JJ	white
powder	NN	powder
pours	VBZ	pour
out	RP	out
in	IN	in
a	DT	a
steady	JJ	steady
arc	NN	arc
.	SENT	.
The	DT	the
powder	NN	powder
lands	NNS	land
across	IN	across
a	DT	a
blue-gray	NN	blue-gray
carpet	NN	carpet
,	,	,
forming	VBG	form
a	DT	a
pale	NN	pale
sprinkled	VBD	sprinkle
band	NN	band
over	IN	over
the	DT	the
carpet	NN	carpet
fibers	NNS	fiber
.	SENT	.
A	DT	a
red	JJ	red
upright	JJ	upright
vacuum	NN	vacuum
cleaner	NN	cleaner
then	RB	then
moves	VBZ	move
over	IN	over
the	DT	the
powdered	JJ	powdered
carpet	NN	carpet
.	SENT	.
Its	PP$	its
red	JJ	red
base	NN	base
passes	VBZ	pass
across	IN	across
the	DT	the
surface	NN	surface
,	,	,
and	CC	and
the	DT	the
powder	NN	powder
disappears	VBZ	disappear
beneath	IN	beneath
it	PP	it
,	,	,
leaving	VBG	leave
a	DT	a
smoother	NN	smoother
,	,	,
cleaner-looking	VBG	cleaner-look
blue-gray	NN	blue-gray
path	NN	path
behind	RB	behind
.	SENT	.
The	DT	the
vacuum	NN	vacuum
continues	VBZ	continue
over	IN	over
the	DT	the
carpet	NN	carpet
until	IN	until
the	DT	the
visible	JJ	visible
powder	NN	powder
has	VBZ	have
been	VBN	be
picked	VBN	pick
up	RP	up
.	SENT	.
Two	CD	two
Glade	NP	Glade
Potpourri	NN	potpourri
Carpet	NN	carpet
&	CC	&
Room	NP	Room
Deodorizer	NN	deodorizer
cans	NNS	can
stand	VBP	stand
together	RB	together
on	IN	on
the	DT	the
carpet	NN	carpet
in	IN	in
a	DT	a
final	JJ	final
product	NN	product
display	NN	display
:	:	:
the	DT	the
red-accented	JJ	<unknown>
variety	NN	variety
on	IN	on
the	DT	the
left	NN	left
and	CC	and
the	DT	the
green-accented	JJ	<unknown>
“	``	"
Fresh	NP	Fresh
Apple	NP	Apple
”	''	"
variety	NN	variety
on	IN	on
the	DT	the
right	NN	right
.	SENT	.
The	DT	the
red	JJ	red
vacuum	NN	vacuum
cleaner	NN	cleaner
moves	NNS	move
blurred	VBD	blur
in	IN	in
the	DT	the
background	NN	background
,	,	,
emphasizing	VBG	emphasize
that	IN	that
the	DT	the
product	NN	product
is	VBZ	be
used	VBN	use
before	IN	before
vacuuming	VBG	vacuum
.	SENT	.
The	DT	the
cans	NNS	can
remain	VBP	remain
centered	VBN	center
and	CC	and
upright	RB	upright
with	IN	with
their	PP$	their
labels	NNS	label
facing	VBG	face
forward	RB	forward
.	SENT	.
Near	IN	near
the	DT	the
end	NN	end
,	,	,
the	DT	the
two-can	JJ	<unknown>
product	NN	product
image	NN	image
appears	VBZ	appear
inside	IN	inside
a	DT	a
white-bordered	JJ	<unknown>
rectangular	JJ	rectangular
inset	NN	inset
on	IN	on
the	DT	the
right	JJ	right
side	NN	side
of	IN	of
the	DT	the
screen	NN	screen
,	,	,
while	IN	while
the	DT	the
woman	NN	woman
’s	POS	's
smiling	VBG	smile
face	NN	face
fills	VBZ	fill
the	DT	the
background	NN	background
.	SENT	.
She	PP	she
looks	VBZ	look
directly	RB	directly
forward	RB	forward
with	IN	with
a	DT	a
bright	JJ	bright
,	,	,
friendly	JJ	friendly
expression	NN	expression
.	SENT	.
Large	JJ	large
white	JJ	white
script	NN	script
text	NN	text
appears	VBZ	appear
along	IN	along
the	DT	the
lower	JJR	low
left	NN	left
and	CC	and
stretches	VBZ	stretch
across	IN	across
the	DT	the
bottom	NN	bottom
:	:	:
“	``	"
A	DT	a
Little	NP	Little
Touch	NP	Touch
Of	IN	of
Country	NP	Country
.	SENT	.
”	''	"
The	DT	the
inset	NN	inset
continues	VBZ	continue
to	TO	to
show	VB	show
the	DT	the
two	CD	two
Glade	NP	Glade
Potpourri	NN	potpourri
containers	NNS	container
side	NN	side
by	IN	by
side	NN	side
as	IN	as
the	DT	the
woman	NN	woman
smiles	VBZ	smile
behind	IN	behind
it	PP	it
.	SENT	.
