Against	IN	against
.	SENT	.
The	DT	the
transcript	NN	transcript
context	NN	context
identifies	VBZ	identify
the	DT	the
mixture	NN	mixture
as	IN	as
an	DT	an
easy	JJ	easy
sauce	NN	sauce
made	VBN	make
with	IN	with
Best	JJS	good
Foods	NP	Foods
mayonnaise	NN	mayonnaise
,	,	,
milk	NN	milk
,	,	,
and	CC	and
lemon	JJ	lemon
juice	NN	juice
;	:	;
visually	RB	visually
,	,	,
the	DT	the
action	NN	action
shows	VBZ	show
mayonnaise	NN	mayonnaise
and	CC	and
liquid	NN	liquid
being	VBG	be
blended	VBN	blend
into	IN	into
a	DT	a
creamy	JJ	creamy
sauce	NN	sauce
.	SENT	.
The	DT	the
creamy	JJ	creamy
sauce	NN	sauce
is	VBZ	be
then	RB	then
poured	VBN	pour
from	IN	from
a	DT	a
small	JJ	small
glass	NN	glass
pitcher	NN	pitcher
over	IN	over
a	DT	a
large	JJ	large
platter	NN	platter
of	IN	of
vegetables	NNS	vegetable
.	SENT	.
The	DT	the
platter	NN	platter
is	VBZ	be
filled	VBN	fill
edge	NN	edge
to	TO	to
edge	VB	edge
with	IN	with
arranged	VBN	arrange
vegetables	NNS	vegetable
:	:	:
many	JJ	many
small	JJ	small
round	NN	round
pieces	NNS	piece
clustered	VBN	cluster
in	IN	in
the	DT	the
center	NN	center
and	CC	and
front	JJ	front
,	,	,
long	JJ	long
pale	JJ	pale
spears	NNS	spear
or	CC	or
strips	NNS	strip
laid	VBN	lay
along	IN	along
the	DT	the
sides	NNS	side
,	,	,
and	CC	and
darker	JJR	dark
textured	JJ	textured
clusters	NNS	cluster
around	IN	around
the	DT	the
outer	JJ	outer
edges	NNS	edge
.	SENT	.
The	DT	the
sauce	NN	sauce
flows	VBZ	flow
in	IN	in
a	DT	a
thick	JJ	thick
white	JJ	white
stream	NN	stream
from	IN	from
the	DT	the
pitcher	NN	pitcher
,	,	,
spreading	VBG	spread
across	IN	across
the	DT	the
center	NN	center
and	CC	and
forming	VBG	form
a	DT	a
glossy	JJ	glossy
band	NN	band
over	IN	over
the	DT	the
vegetables	NNS	vegetable
.	SENT	.
The	DT	the
pour	NN	pour
continues	VBZ	continue
until	IN	until
a	DT	a
broad	JJ	broad
creamy	JJ	creamy
layer	NN	layer
covers	VBZ	cover
the	DT	the
middle	NN	middle
,	,	,
with	IN	with
the	DT	the
vegetables	NNS	vegetable
still	RB	still
visible	JJ	visible
around	IN	around
and	CC	and
beneath	IN	beneath
it	PP	it
.	SENT	.
A	DT	a
long	JJ	long
spoon	NN	spoon
rests	VBZ	rest
on	IN	on
the	DT	the
table	NN	table
behind	IN	behind
the	DT	the
platter	NN	platter
.	SENT	.
The	DT	the
cartoon	NN	cartoon
hen	NN	hen
reappears	VBZ	reappear
at	IN	at
the	DT	the
left	VBN	leave
edge	NN	edge
beside	IN	beside
the	DT	the
finished	JJ	finished
vegetable	NN	vegetable
platter	NN	platter
,	,	,
smiling	VBG	smile
and	CC	and
extending	VBG	extend
a	DT	a
wing	NN	wing
toward	IN	toward
it	PP	it
.	SENT	.
The	DT	the
Best	JJS	good
Foods	NP	Foods
mayonnaise	NN	mayonnaise
jar	NN	jar
slides	VBZ	slide
back	RB	back
in	IN	in
next	JJ	next
to	TO	to
her	PP	her
,	,	,
again	RB	again
tilted	VBN	tilt
slightly	RB	slightly
with	IN	with
the	DT	the
label	NN	label
facing	VBG	face
forward	RB	forward
.	SENT	.
The	DT	the
platter	NN	platter
remains	VBZ	remain
partly	RB	partly
visible	JJ	visible
behind	IN	behind
it	PP	it
at	IN	at
first	JJ	first
,	,	,
then	RB	then
the	DT	the
jar	NN	jar
becomes	VBZ	become
the	DT	the
dominant	JJ	dominant
image	NN	image
.	SENT	.
The	DT	the
label	NN	label
“	``	"
Best	JJS	good
Foods	NP	Foods
REAL	JJ	real
Mayonnaise	NN	mayonnaise
”	''	"
is	VBZ	be
held	VBN	hold
large	JJ	large
and	CC	and
clear	JJ	clear
,	,	,
with	IN	with
the	DT	the
hen	NN	hen
’s	POS	's
line-drawn	NN	<unknown>
body	NN	body
partly	RB	partly
visible	JJ	visible
to	TO	to
the	DT	the
side	NN	side
as	IN	as
she	PP	she
continues	VBZ	continue
to	TO	to
present	VB	present
the	DT	the
product	NN	product
.	SENT	.
In	IN	in
the	DT	the
final	JJ	final
moments	NNS	moment
,	,	,
the	DT	the
jar	NN	jar
fills	VBZ	fill
most	JJS	most
of	IN	of
the	DT	the
view	NN	view
,	,	,
angled	VBD	angle
slightly	RB	slightly
,	,	,
while	IN	while
the	DT	the
cartoon	NN	cartoon
hen	NN	hen
peeks	NNS	peek
and	CC	and
steps	NNS	step
alongside	IN	alongside
it	PP	it
,	,	,
smiling	VBG	smile
as	IN	as
the	DT	the
product	NN	product
name	NN	name
remains	VBZ	remain
prominent	JJ	prominent
.	SENT	.
