Against	IN	against
showing	VBG	show
a	DT	a
glossy	JJ	glossy
,	,	,
soft-looking	JJ	<unknown>
peak	NN	peak
at	IN	at
the	DT	the
center	NN	center
,	,	,
before	IN	before
the	DT	the
chocolate	JJ	chocolate
top	JJ	top
returns	NNS	return
and	CC	and
the	DT	the
Kiss	NP	Kiss
appears	VBZ	appear
whole	RP	whole
again	RB	again
with	IN	with
its	PP$	its
ribbon	NN	ribbon
curling	NN	curling
behind	RB	behind
.	SENT	.
The	DT	the
Kiss	NP	Kiss
separates	VBZ	separate
once	RB	once
more	JJR	more
,	,	,
the	DT	the
pointed	JJ	pointed
chocolate	NN	chocolate
cap	NN	cap
floating	VBG	float
to	TO	to
one	CD	one
side	NN	side
while	IN	while
the	DT	the
rounded	JJ	rounded
base	NN	base
remains	VBZ	remain
,	,	,
its	PP$	its
peanut	NN	peanut
butter	NN	butter
center	NN	center
visible	JJ	visible
at	IN	at
the	DT	the
top	NN	top
.	SENT	.
A	DT	a
square	NN	square
of	IN	of
shiny	JJ	shiny
silver	NN	silver
foil	NN	foil
appears	VBZ	appear
on	IN	on
the	DT	the
white	JJ	white
surface	NN	surface
nearby	RB	nearby
.	SENT	.
The	DT	the
rounded	JJ	rounded
filled	VBN	fill
base	NN	base
rolls	NNS	roll
and	CC	and
tips	NNS	tip
onto	IN	onto
the	DT	the
foil	NN	foil
,	,	,
while	IN	while
the	DT	the
pointed	JJ	pointed
chocolate	NN	chocolate
cap	NN	cap
hovers	VBZ	hover
and	CC	and
spins	VBZ	spin
around	IN	around
it	PP	it
.	SENT	.
The	DT	the
blue	NN	blue
“	``	"
KISSES	VBZ	kiss
”	''	"
ribbon	NN	ribbon
flips	NNS	flip
and	CC	and
loops	NNS	loop
in	IN	in
the	DT	the
air	NN	air
as	IN	as
the	DT	the
pieces	NNS	piece
move	VBP	move
together	RB	together
over	IN	over
the	DT	the
foil	NN	foil
.	SENT	.
The	DT	the
foil	NN	foil
begins	VBZ	begin
to	TO	to
gather	VB	gather
and	CC	and
crinkle	VB	crinkle
upward	RB	upward
around	IN	around
the	DT	the
chocolate	NN	chocolate
,	,	,
enclosing	VBG	enclose
it	PP	it
.	SENT	.
By	IN	by
the	DT	the
end	NN	end
,	,	,
the	DT	the
candy	NN	candy
is	VBZ	be
wrapped	VBN	wrap
in	IN	in
reflective	JJ	reflective
silver	NN	silver
foil	NN	foil
with	IN	with
red	JJ	red
printed	JJ	printed
markings	NNS	marking
,	,	,
shaped	VBN	shape
into	IN	into
a	DT	a
small	JJ	small
Hershey	NP	Hershey
’s	POS	's
Kiss	NP	Kiss
,	,	,
with	IN	with
the	DT	the
paper	NN	paper
plume	NN	plume
sticking	VBG	stick
out	RP	out
from	IN	from
the	DT	the
top	NN	top
.	SENT	.
