Against	IN	against
,	,	,
and	CC	and
neatly	RB	neatly
folded	VBN	fold
clothes	NNS	clothes
sit	VBP	sit
to	TO	to
the	DT	the
right	NN	right
on	IN	on
a	DT	a
white	JJ	white
surface	NN	surface
.	SENT	.
As	IN	as
the	DT	the
pants	NNS	pant
are	VBP	be
lowered	VBN	lower
out	RP	out
of	IN	of
the	DT	the
way	NN	way
,	,	,
the	DT	the
blue	JJ	blue
All	NP	All
Stainlifter	NP	<unknown>
bottle	NN	bottle
appears	VBZ	appear
centered	VBN	center
on	IN	on
the	DT	the
counter	NN	counter
,	,	,
flanked	VBN	flank
by	IN	by
a	DT	a
white	JJ	white
baseball	NN	baseball
helmet	NN	helmet
on	IN	on
the	DT	the
left	NN	left
and	CC	and
a	DT	a
stack	NN	stack
of	IN	of
folded	VBN	fold
white	JJ	white
,	,	,
yellow	JJ	yellow
,	,	,
and	CC	and
coral-colored	JJ	coral-colored
clothes	NNS	clothes
on	IN	on
the	DT	the
right	NN	right
.	SENT	.
A	DT	a
baseball	NN	baseball
rests	VBZ	rest
in	IN	in
front	NN	front
of	IN	of
the	DT	the
folded	VBN	fold
laundry	NN	laundry
.	SENT	.
A	DT	a
small	JJ	small
Little	JJ	little
League-related	JJ	League-related
badge	NN	badge
near	IN	near
the	DT	the
lower	JJR	low
left	NN	left
identifies	VBZ	identify
All	DT	all
as	IN	as
the	DT	the
official	JJ	official
detergent	NN	detergent
of	IN	of
Little	NP	Little
League	NP	League
.	SENT	.
The	DT	the
product	NN	product
remains	VBZ	remain
displayed	VBN	display
in	IN	in
this	DT	this
clean	JJ	clean
,	,	,
bright	JJ	bright
setting	NN	setting
:	:	:
blue	JJ	blue
bottle	NN	bottle
with	IN	with
yellow	JJ	yellow
cap	NN	cap
in	IN	in
the	DT	the
middle	JJ	middle
,	,	,
white	JJ	white
helmet	NN	helmet
to	TO	to
the	DT	the
left	NN	left
,	,	,
folded	VBD	fold
uniforms	NNS	uniform
or	CC	or
towels	NNS	towel
to	TO	to
the	DT	the
right	NN	right
,	,	,
and	CC	and
a	DT	a
baseball	NN	baseball
in	IN	in
front	NN	front
.	SENT	.
The	DT	the
bottle	NN	bottle
label	NN	label
again	RB	again
shows	VBZ	show
the	DT	the
large	JJ	large
“	``	"
all	RB	all
”	''	"
logo	NN	logo
and	CC	and
the	DT	the
Stainlifter	NP	<unknown>
branding	VBG	brand
,	,	,
with	IN	with
the	DT	the
“	``	"
Now	RB	now
!	SENT	!
In-Wash	NP	<unknown>
Pre-Treaters	NP	<unknown>
”	''	"
message	NN	message
printed	VBN	print
near	IN	near
the	DT	the
top	NN	top
of	IN	of
the	DT	the
bottle	NN	bottle
.	SENT	.
The	DT	the
commercial	NN	commercial
then	RB	then
switches	VBZ	switch
to	TO	to
a	DT	a
clean	JJ	clean
white	JJ	white
graphic	JJ	graphic
background	NN	background
with	IN	with
the	DT	the
circular	NN	circular
All	DT	all
Stainlifters	NP	<unknown>
logo	NN	logo
floating	VBG	float
in	IN	in
the	DT	the
center	NN	center
.	SENT	.
Clear	JJ	clear
and	CC	and
blue	JJ	blue
liquid	JJ	liquid
streams	NNS	stream
curl	VBP	curl
around	IN	around
it	PP	it
,	,	,
forming	VBG	form
a	DT	a
swirling	JJ	swirling
,	,	,
wave-like	JJ	<unknown>
shape	NN	shape
.	SENT	.
The	DT	the
liquids	NNS	liquid
wrap	NN	wrap
around	IN	around
the	DT	the
logo	NN	logo
as	RB	as
if	IN	if
activating	VBG	activate
it	PP	it
,	,	,
then	RB	then
the	DT	the
view	NN	view
moves	VBZ	move
into	IN	into
a	DT	a
close-up	NN	close-up
animated	JJ	animated
world	NN	world
of	IN	of
fabric	NN	fabric
fibers	NNS	fiber
.	SENT	.
A	DT	a
glossy	JJ	glossy
blue	JJ	blue
sphere	NN	sphere
with	IN	with
the	DT	the
yellow	JJ	yellow
“	``	"
all	RB	all
”	''	"
logo	NN	logo
sits	VBZ	sit
among	IN	among
white	JJ	white
woven	VBN	weave
threads	NNS	thread
,	,	,
surrounded	VBN	surround
by	IN	by
blue	JJ	blue
liquid	JJ	liquid
and	CC	and
small	JJ	small
bubbles	NNS	bubble
.	SENT	.
More	RBR	more
blue	JJ	blue
All-branded	JJ	<unknown>
spheres	NNS	sphere
appear	VBP	appear
and	CC	and
move	VBP	move
over	IN	over
a	DT	a
white	JJ	white
mesh-like	JJ	<unknown>
fabric	NN	fabric
surface	NN	surface
covered	VBN	cover
with	IN	with
green	JJ	green
grass-stain	NN	grass-stain
particles	NNS	particle
.	SENT	.
The	DT	the
spheres	NNS	sphere
roll	VBP	roll
and	CC	and
float	VBP	float
along	IN	along
the	DT	the
fabric	NN	fabric
while	IN	while
tiny	JJ	tiny
green	JJ	green
specks	NNS	speck
scatter	NN	scatter
,	,	,
visually	RB	visually
representing	VBG	represent
the	DT	the
detergent	NN	detergent
attacking	VBG	attack
or	CC	or
lifting	VBG	lift
stains	NNS	stain
.	SENT	.
Small	JJ	small
disclaimer	NN	disclaimer
text	NN	text
appears	VBZ	appear
along	IN	along
the	DT	the
bottom	NN	bottom
during	IN	during
this	DT	this
sequence	NN	sequence
,	,	,
including	VBG	include
a	DT	a
reference	NN	reference
to	TO	to
a	DT	a
grass	NN	grass
stain	NN	stain
on	IN	on
polyester	NN	polyester
fabric	NN	fabric
and	CC	and
washing	NN	washing
conditions	NNS	condition
.	SENT	.
On	IN	on
a	DT	a
plain	JJ	plain
white	JJ	white
background	NN	background
,	,	,
an	DT	an
unbranded	JJ	unbranded
orange	JJ	orange
detergent	NN	detergent
bottle	NN	bottle
with	IN	with
a	DT	a
dark	JJ	dark
blue	JJ	blue
cap	NN	cap
appears	VBZ	appear
.	SENT	.
The	DT	the
word	NN	word
“	``	"
Detergent	NN	detergent
”	''	"
is	VBZ	be
printed	VBN	print
on	IN	on
it	PP	it
in	IN	in
blue-green	JJ	blue-green
letters	NNS	letter
.	SENT	.
A	DT	a
blue	JJ	blue
tub	NN	tub
labeled	VBN	label
“	``	"
BOOSTER	NN	booster
”	''	"
slides	NNS	slide
in	IN	in
beside	IN	beside
it	PP	it
,	,	,
creating	VBG	create
a	DT	a
comparison	NN	comparison
setup	NN	setup
.	SENT	.
Small	JJ	small
fine	JJ	fine
print	NN	print
at	IN	at
the	DT	the
bottom	NN	bottom
explains	VBZ	explain
that	IN	that
the	DT	the
comparison	NN	comparison
is	VBZ	be
based	VBN	base
on	IN	on
pre-treating	VBG	pre-treat
and	CC	and
washing	VBG	wash
with	IN	with
All	DT	all
Stainlifter	NP	<unknown>
versus	IN	versus
washing	VBG	wash
with	IN	with
a	DT	a
leading	VBG	lead
value	NN	value
detergent	NN	detergent
and	CC	and
leading	VBG	lead
booster	NN	booster
combined	VBN	combine
.	SENT	.
Then	RB	then
the	DT	the
blue	JJ	blue
All	NP	All
Stainlifter	NP	<unknown>
bottle	NN	bottle
enters	VBZ	enter
from	IN	from
the	DT	the
right	NN	right
,	,	,
while	IN	while
bold	JJ	bold
blue	JJ	blue
text	NN	text
above	RB	above
reads	VBZ	read
“	``	"
MORE	JJR	more
CLEANING	NN	cleaning
POWER	NN	power
!	SENT	!
”	''	"
The	DT	the
orange	JJ	orange
detergent	NN	detergent
and	CC	and
blue	JJ	blue
booster	NN	booster
slide	NN	slide
away	RB	away
,	,	,
leaving	VBG	leave
the	DT	the
All	NP	All
bottle	NN	bottle
alone	RB	alone
under	IN	under
the	DT	the
“	``	"
MORE	JJR	more
CLEANING	NN	cleaning
POWER	NN	power
!	SENT	!
”	''	"
message	NN	message
.	SENT	.
Finally	RB	finally
,	,	,
the	DT	the
product	NN	product
returns	NNS	return
to	TO	to
the	DT	the
bright	JJ	bright
laundry-room	NN	<unknown>
display	NN	display
.	SENT	.
The	DT	the
All	NP	All
bottle	NN	bottle
stands	NNS	stand
centered	VBN	center
on	IN	on
the	DT	the
white	JJ	white
counter	NN	counter
with	IN	with
the	DT	the
baseball	NN	baseball
helmet	NN	helmet
on	IN	on
the	DT	the
left	NN	left
,	,	,
folded	VBD	fold
clean	JJ	clean
clothes	NNS	clothes
on	IN	on
the	DT	the
right	NN	right
,	,	,
and	CC	and
a	DT	a
baseball	NN	baseball
in	IN	in
front	NN	front
.	SENT	.
Across	IN	across
the	DT	the
top	NN	top
,	,	,
the	DT	the
slogan	NN	slogan
appears	VBZ	appear
in	IN	in
lowercase	JJ	lowercase
:	:	:
“	``	"
give	VB	give
us	PP	us
your	PP$	your
worst	JJS	bad
,	,	,
we	PP	we
’ll	RB	<unknown>
give	VB	give
it	PP	it
our	PP$	our
”	''	"
followed	VBN	follow
by	IN	by
the	DT	the
small	JJ	small
All	NP	All
logo	NN	logo
,	,	,
completing	VBG	complete
the	DT	the
phrase	NN	phrase
visually	RB	visually
as	IN	as
“	``	"
all	RB	all
.	SENT	.
”	''	"
A	DT	a
Little	NP	Little
League	NP	League
Baseball	NP	Baseball
seal	NN	seal
appears	VBZ	appear
near	IN	near
the	DT	the
lower	JJR	low
left	VBN	leave
beside	IN	beside
the	DT	the
helmet	NN	helmet
.	SENT	.
The	DT	the
closing	NN	closing
image	NN	image
is	VBZ	be
clean	JJ	clean
and	CC	and
orderly	JJ	orderly
,	,	,
with	IN	with
the	DT	the
blue	JJ	blue
bottle	NN	bottle
prominent	JJ	prominent
against	IN	against
the	DT	the
white	JJ	white
background	NN	background
and	CC	and
the	DT	the
baseball	NN	baseball
items	NNS	item
framing	VBG	frame
it	PP	it
.	SENT	.
