Inside	IN	inside
wearing	VBG	wear
a	DT	a
dark	JJ	dark
top	NN	top
and	CC	and
a	DT	a
light	JJ	light
apron	NN	apron
tied	VBN	tie
at	IN	at
the	DT	the
waist	NN	waist
,	,	,
stands	VBZ	stand
beside	IN	beside
the	DT	the
display	NN	display
,	,	,
looking	VBG	look
at	IN	at
the	DT	the
products	NNS	product
.	SENT	.
Shelves	NNS	shelf
of	IN	of
garden	NN	garden
supplies	NNS	supply
and	CC	and
large	JJ	large
potted	JJ	potted
plants	NNS	plant
fill	VBP	fill
the	DT	the
surrounding	VBG	surround
aisle	NN	aisle
.	SENT	.
The	DT	the
dog	NN	dog
is	VBZ	be
then	RB	then
shown	VBN	show
riding	VBG	ride
in	IN	in
the	DT	the
white	JJ	white
convertible	NN	convertible
,	,	,
presented	VBD	present
comically	RB	comically
as	RB	as
if	IN	if
it	PP	it
is	VBZ	be
in	IN	in
the	DT	the
driver	NN	driver
’s	POS	's
seat	NN	seat
.	SENT	.
It	PP	it
wears	VBZ	wear
pale	JJ	pale
yellow	JJ	yellow
goggles	NNS	goggle
over	IN	over
its	PP$	its
eyes	NNS	eye
,	,	,
its	PP$	its
long	JJ	long
fur	NN	fur
blowing	VBG	blow
back	RB	back
,	,	,
with	IN	with
its	PP$	its
front	JJ	front
paws	NNS	paw
resting	VBG	rest
near	IN	near
the	DT	the
steering	NN	steering
wheel	NN	wheel
.	SENT	.
A	DT	a
green	JJ	green
Spruce	NP	Spruce
container	NN	container
sits	VBZ	sit
upright	RB	upright
beside	IN	beside
the	DT	the
wheel	NN	wheel
on	IN	on
the	DT	the
front	JJ	front
seat	NN	seat
area	NN	area
,	,	,
label	VBP	label
facing	VBG	face
outward	RB	outward
.	SENT	.
The	DT	the
background	NN	background
is	VBZ	be
a	DT	a
blur	NN	blur
of	IN	of
lush	JJ	lush
greenery	NN	greenery
and	CC	and
palm-lined	JJ	palm-lined
streets	NNS	street
,	,	,
reinforcing	VBG	reinforce
the	DT	the
sense	NN	sense
of	IN	of
motion	NN	motion
and	CC	and
open	JJ	open
air	NN	air
.	SENT	.
Outside	IN	outside
a	DT	a
house	NN	house
in	IN	in
a	DT	a
landscaped	VBN	landscape
front	NN	front
yard	NN	yard
,	,	,
a	DT	a
casually	RB	casually
dressed	VBN	dress
adult	JJ	adult
man	NN	man
in	IN	in
a	DT	a
white	JJ	white
T-shirt	NN	T-shirt
,	,	,
dark	JJ	dark
shorts	NNS	short
,	,	,
and	CC	and
sandals	NNS	sandal
uses	VBZ	use
a	DT	a
green	JJ	green
Spruce	NP	Spruce
container	NN	container
with	IN	with
an	DT	an
attached	VBN	attach
spray	NN	spray
wand	NN	wand
.	SENT	.
He	PP	he
points	VBZ	point
the	DT	the
wand	NN	wand
downward	RB	downward
toward	IN	toward
small	JJ	small
weeds	NNS	weed
growing	VBG	grow
between	IN	between
paving	VBG	pave
stones	NNS	stone
near	IN	near
the	DT	the
edge	NN	edge
of	IN	of
the	DT	the
lawn	NN	lawn
.	SENT	.
The	DT	the
shaggy	JJ	shaggy
dog	NN	dog
stands	VBZ	stand
nearby	RB	nearby
on	IN	on
the	DT	the
grass	NN	grass
,	,	,
facing	VBG	face
away	RB	away
toward	IN	toward
the	DT	the
yard	NN	yard
,	,	,
while	IN	while
flowers	NNS	flower
,	,	,
shrubs	NNS	shrub
,	,	,
rocks	NNS	rock
,	,	,
and	CC	and
a	DT	a
porch	NN	porch
frame	VB	frame
the	DT	the
domestic	JJ	domestic
garden	NN	garden
setting	NN	setting
.	SENT	.
A	DT	a
simple	JJ	simple
side-by-side	NN	side-by-side
demonstration	NN	demonstration
appears	VBZ	appear
against	IN	against
dark	JJ	dark
soil	NN	soil
.	SENT	.
On	IN	on
the	DT	the
left	NN	left
,	,	,
a	DT	a
small	JJ	small
green	JJ	green
plant	NN	plant
is	VBZ	be
labeled	VBN	label
“	``	"
UNTREATED	JJ	untreated
”	''	"
in	IN	in
white	JJ	white
text	NN	text
on	IN	on
a	DT	a
green	JJ	green
tag	NN	tag
.	SENT	.
On	IN	on
the	DT	the
right	NN	right
,	,	,
another	DT	another
small	JJ	small
plant	NN	plant
is	VBZ	be
marked	VBN	mark
with	IN	with
a	DT	a
green	JJ	green
label	NN	label
reading	VBG	read
“	``	"
TREAT	VB	treat
,	,	,
”	''	"
indicating	VBG	indicate
the	DT	the
treated	VBN	treat
side	NN	side
.	SENT	.
The	DT	the
treated	VBN	treat
plant	NN	plant
appears	VBZ	appear
smaller	JJR	small
and	CC	and
more	RBR	more
wilted	VBD	wilt
,	,	,
with	IN	with
little	JJ	little
white	JJ	white
marks	NNS	mark
or	CC	or
drops	NNS	drop
around	IN	around
it	PP	it
on	IN	on
the	DT	the
soil	NN	soil
,	,	,
while	IN	while
the	DT	the
untreated	JJ	untreated
plant	NN	plant
looks	VBZ	look
fresher	JJR	fresh
and	CC	and
more	RBR	more
upright	JJ	upright
.	SENT	.
The	DT	the
man	NN	man
kneels	VBZ	kneel
beside	IN	beside
the	DT	the
dog	NN	dog
in	IN	in
the	DT	the
yard	NN	yard
,	,	,
smiling	VBG	smile
down	RB	down
at	IN	at
it	PP	it
and	CC	and
gently	RB	gently
petting	VBG	pet
its	PP$	its
head	NN	head
.	SENT	.
The	DT	the
Spruce	NP	Spruce
container	NN	container
stands	VBZ	stand
upright	RB	upright
between	IN	between
them	PP	them
,	,	,
its	PP$	its
green	JJ	green
label	NN	label
visible	JJ	visible
,	,	,
with	IN	with
the	DT	the
spray	NN	spray
wand	NN	wand
attached	VBN	attach
along	IN	along
the	DT	the
side	NN	side
.	SENT	.
The	DT	the
dog	NN	dog
sits	VBZ	sit
calmly	RB	calmly
,	,	,
wearing	VBG	wear
a	DT	a
collar	NN	collar
,	,	,
in	IN	in
front	NN	front
of	IN	of
the	DT	the
home	NN	home
’s	POS	's
garden	NN	garden
and	CC	and
trees	NNS	tree
.	SENT	.
A	DT	a
dark	JJ	dark
gray	JJ	gray
pickup	NN	pickup
truck	NN	truck
is	VBZ	be
parked	VBN	park
in	IN	in
a	DT	a
driveway	NN	driveway
or	CC	or
residential	JJ	residential
street	NN	street
with	IN	with
several	JJ	several
dogs	NNS	dog
leaning	VBG	lean
out	RP	out
of	IN	of
the	DT	the
open	JJ	open
windows	NNS	window
.	SENT	.
A	DT	a
large	JJ	large
green	JJ	green
Spruce	NP	Spruce
retail	JJ	retail
display	NN	display
,	,	,
stocked	VBN	stock
with	IN	with
bottles	NNS	bottle
,	,	,
is	VBZ	be
positioned	VBN	position
upright	RB	upright
in	IN	in
the	DT	the
truck	NN	truck
bed	NN	bed
.	SENT	.
The	DT	the
dogs	NNS	dog
look	VBP	look
outward	RB	outward
from	IN	from
the	DT	the
cab	NN	cab
,	,	,
including	VBG	include
a	DT	a
white	JJ	white
dog	NN	dog
hanging	VBG	hang
its	PP$	its
front	JJ	front
paws	NNS	paw
over	IN	over
the	DT	the
window	NN	window
edge	NN	edge
and	CC	and
another	DT	another
black-and-white	JJ	black-and-white
dog	NN	dog
visible	JJ	visible
in	IN	in
the	DT	the
back	NN	back
.	SENT	.
A	DT	a
large	JJ	large
yellow	JJ	yellow
graphic	JJ	graphic
shape	NN	shape
sweeps	NNS	sweep
across	IN	across
the	DT	the
scene	NN	scene
,	,	,
transitioning	VBG	<unknown>
into	IN	into
the	DT	the
final	JJ	final
product	NN	product
display	NN	display
.	SENT	.
The	DT	the
commercial	JJ	commercial
ends	NNS	end
on	IN	on
a	DT	a
clean	JJ	clean
green-and-yellow	NN	green-and-yellow
graphic	JJ	graphic
background	NN	background
with	IN	with
a	DT	a
large	JJ	large
Spruce	NP	Spruce
Weed	NP	Weed
&	CC	&
Grass	NP	Grass
Killer	NP	Killer
container	NN	container
on	IN	on
the	DT	the
right	NN	right
.	SENT	.
The	DT	the
product	NN	product
is	VBZ	be
a	DT	a
green-and-white	JJ	green-and-white
jug	NN	jug
with	IN	with
an	DT	an
attached	JJ	attached
green	JJ	green
spray	NN	spray
wand	NN	wand
and	CC	and
yellow	JJ	yellow
nozzle	NN	nozzle
.	SENT	.
Visible	JJ	visible
label	NN	label
details	NNS	detail
include	VBP	include
the	DT	the
Spruce	NP	Spruce
brand	NN	brand
name	NN	name
,	,	,
“	``	"
Weed	NP	Weed
&	CC	&
Grass	NP	Grass
Killer	NP	Killer
,	,	,
”	''	"
“	``	"
Visible	JJ	visible
Results	NNS	result
1	CD	@card@
hr	NN	hr
,	,	,
”	''	"
and	CC	and
claims	NNS	claim
about	IN	about
killing	VBG	kill
weeds	NNS	weed
and	CC	and
grass	NN	grass
to	TO	to
the	DT	the
roots	NNS	root
.	SENT	.
Icons	NNS	icon
on	IN	on
the	DT	the
label	NN	label
refer	VBP	refer
to	TO	to
use	VB	use
around	RP	around
people	NNS	people
,	,	,
pets	NNS	pet
,	,	,
and	CC	and
bees	NNS	bee
when	WRB	when
used	VBN	use
as	IN	as
directed	VBN	direct
.	SENT	.
Large	JJ	large
yellow	JJ	yellow
text	NN	text
on	IN	on
the	DT	the
left	NN	left
reads	VBZ	read
,	,	,
“	``	"
PET	NN	pet
FRIENDLY	JJ	friendly
.	SENT	.
”	''	"
